WS_3_20.bin
         3.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
1383
 2
1
Chargeability
mV/V
 0.06,0.5
4  3.00  0.00 93.00  0.00 45.00  0.00 51.00  0.00 567.63  2.86
4  3.00  0.00 99.00  0.00 48.00  0.00 54.00  0.00 593.30  2.04
4  3.00  0.00 105.00  0.00 51.00  0.00 57.00  0.00 584.84  2.61
4  3.00  0.00 111.00  0.00 54.00  0.00 60.00  0.00 586.96  2.40
4  3.00  0.00 18.00  0.00 6.00  0.00 15.00  0.00 363.53  7.29
4  3.00  0.00 24.00  0.00 9.00  0.00 18.00  0.00 358.94  6.79
4  3.00  0.00 30.00  0.00 12.00  0.00 21.00  0.00 326.03  4.88
4  3.00  0.00 36.00  0.00 15.00  0.00 24.00  0.00 308.53  4.83
4  3.00  0.00 42.00  0.00 18.00  0.00 27.00  0.00 315.51  4.42
4  3.00  0.00 48.00  0.00 21.00  0.00 30.00  0.00 355.93  5.79
4  3.00  0.00 54.00  0.00 24.00  0.00 33.00  0.00 380.87  5.66
4  3.00  0.00 60.00  0.00 27.00  0.00 36.00  0.00 385.11  7.55
4  3.00  0.00 66.00  0.00 30.00  0.00 39.00  0.00 369.78  5.49
4  3.00  0.00 72.00  0.00 33.00  0.00 42.00  0.00 369.01  6.05
4  3.00  0.00 78.00  0.00 36.00  0.00 45.00  0.00 369.98  5.14
4  3.00  0.00 84.00  0.00 39.00  0.00 48.00  0.00 440.21  4.13
4  3.00  0.00 90.00  0.00 42.00  0.00 51.00  0.00 518.82  3.42
4  3.00  0.00 96.00  0.00 45.00  0.00 54.00  0.00 582.69  2.14
4  3.00  0.00 102.00  0.00 48.00  0.00 57.00  0.00 602.55  2.18
4  6.00  0.00 15.00  0.00 9.00  0.00 12.00  0.00 330.46  3.99
4  6.00  0.00 21.00  0.00 12.00  0.00 15.00  0.00 314.20  8.93
4  6.00  0.00 27.00  0.00 15.00  0.00 18.00  0.00 328.66  4.93
4  6.00  0.00 33.00  0.00 18.00  0.00 21.00  0.00 296.93  5.63
4  6.00  0.00 39.00  0.00 21.00  0.00 24.00  0.00 295.14  4.79
4  6.00  0.00 45.00  0.00 24.00  0.00 27.00  0.00 316.54  4.85
4  6.00  0.00 51.00  0.00 27.00  0.00 30.00  0.00 343.09  5.88
4  6.00  0.00 57.00  0.00 30.00  0.00 33.00  0.00 359.85  7.04
4  6.00  0.00 69.00  0.00 36.00  0.00 39.00  0.00 363.15  7.58
4  6.00  0.00 75.00  0.00 39.00  0.00 42.00  0.00 345.85  6.11
4  6.00  0.00 81.00  0.00 42.00  0.00 45.00  0.00 408.85  5.33
4  6.00  0.00 87.00  0.00 45.00  0.00 48.00  0.00 482.50  3.30
4  6.00  0.00 93.00  0.00 48.00  0.00 51.00  0.00 560.11  3.22
4  6.00  0.00 99.00  0.00 51.00  0.00 54.00  0.00 581.92  2.33
4  6.00  0.00 105.00  0.00 54.00  0.00 57.00  0.00 580.56  2.66
4  6.00  0.00 111.00  0.00 57.00  0.00 60.00  0.00 596.47  2.85
4  6.00  0.00 117.00  0.00 60.00  0.00 63.00  0.00 588.13  2.20
4  6.00  0.00 18.00  0.00 9.00  0.00 15.00  0.00 320.61  3.43
4  6.00  0.00 24.00  0.00 12.00  0.00 18.00  0.00 318.12  7.19
4  6.00  0.00 30.00  0.00 15.00  0.00 21.00  0.00 309.59  5.51
4  6.00  0.00 36.00  0.00 18.00  0.00 24.00  0.00 289.29  4.71
4  6.00  0.00 42.00  0.00 21.00  0.00 27.00  0.00 305.40  4.47
4  6.00  0.00 48.00  0.00 24.00  0.00 30.00  0.00 338.14  5.18
4  6.00  0.00 54.00  0.00 27.00  0.00 33.00  0.00 364.56  6.16
4  6.00  0.00 60.00  0.00 30.00  0.00 36.00  0.00 371.12  6.36
4  6.00  0.00 66.00  0.00 33.00  0.00 39.00  0.00 369.48  6.37
4  6.00  0.00 72.00  0.00 36.00  0.00 42.00  0.00 360.13  6.22
4  6.00  0.00 78.00  0.00 39.00  0.00 45.00  0.00 344.29  5.76
4  6.00  0.00 84.00  0.00 42.00  0.00 48.00  0.00 415.78  4.50
4  6.00  0.00 90.00  0.00 45.00  0.00 51.00  0.00 494.75  3.33
4  6.00  0.00 96.00  0.00 48.00  0.00 54.00  0.00 565.48  2.85
4  6.00  0.00 102.00  0.00 51.00  0.00 57.00  0.00 588.31  2.02
4  6.00  0.00 108.00  0.00 54.00  0.00 60.00  0.00 580.52  2.62
4  6.00  0.00 114.00  0.00 57.00  0.00 63.00  0.00 586.96  2.40
4  6.00  0.00 21.00  0.00 9.00  0.00 18.00  0.00 311.99  3.89
4  6.00  0.00 27.00  0.00 12.00  0.00 21.00  0.00 303.45  6.74
4  6.00  0.00 33.00  0.00 15.00  0.00 24.00  0.00 301.28  4.89
4  6.00  0.00 39.00  0.00 18.00  0.00 27.00  0.00 301.92  5.13
4  6.00  0.00 45.00  0.00 21.00  0.00 30.00  0.00 317.67  4.87
4  6.00  0.00 51.00  0.00 24.00  0.00 33.00  0.00 358.82  6.03
